text,sentiment,label
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
The food was cold and the service was terribly slow.,0,Negative
"The movie was not good, I hated every minute of it.",0,Negative
"Absolutely brilliant, exceeded all my expectations!",1,Positive
Terribly slow service and the food was completely cold. Really.,0,Negative
"I love it, not bad at all, the product is great. Really.",1,Positive
The customer service was surprisingly helpful and fast. Really.,1,Positive
The customer service was surprisingly helpful and fast. Really.,1,Positive
Terribly slow service and the food was completely cold. Just my opinion.,0,Negative
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
"Exceeded my expectations, absolutely brilliant experience. Honestly.",1,Positive
"The movie was not good, I hated every minute of it. Honestly.",0,Negative
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
"The product is not bad at all, I actually love it. Really.",1,Positive
Terribly slow service and the food was completely cold. Really.,0,Negative
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
Terribly slow service and the food was completely cold. Really.,0,Negative
"It is okay, nothing to write home about, but it works.",0,Negative
"It is okay, nothing to write home about, but it works. Honestly.",0,Negative
It is amazing how something so small can be so powerful. Just my opinion.,1,Positive
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
The food was cold and the service was terribly slow.,0,Negative
The food was cold and the service was terribly slow. Honestly.,0,Negative
"The product is not bad at all, I actually love it.",1,Positive
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"It is okay, nothing to write home about, but it works.",0,Negative
"Fast delivery, but the item was completely broken.",0,Negative
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"It is okay, nothing to write home about, but it works. Honestly.",0,Negative
"I hated every minute of it, the movie was not good.",0,Negative
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
The food was cold and the service was terribly slow.,0,Negative
"Total waste of money, I would not recommend this to anyone.",0,Negative
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"Fast delivery, but the item was completely broken.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
The food was cold and the service was terribly slow. Just my opinion.,0,Negative
"It is okay, nothing to write home about, but it works. Honestly.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Really.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
The food was cold and the service was terribly slow. Really.,0,Negative
"Works perfectly, nothing more to say, very satisfied.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Really.",1,Positive
"I hated every minute of it, the movie was not good. Really.",0,Negative
"The product is not bad at all, I actually love it. Honestly.",1,Positive
It is amazing how something so small can be so powerful. Just my opinion.,1,Positive
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"I love it, not bad at all, the product is great. Really.",1,Positive
"I hated every minute of it, the movie was not good. Really.",0,Negative
The food was cold and the service was terribly slow. Honestly.,0,Negative
"I love it, not bad at all, the product is great. Really.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Really.",1,Positive
The customer service was surprisingly helpful and fast.,1,Positive
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
"I hated every minute of it, the movie was not good.",0,Negative
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"I love it, not bad at all, the product is great. Really.",1,Positive
"Works perfectly, nothing more to say, very satisfied.",1,Positive
It is amazing how something so small can be so powerful. Honestly.,1,Positive
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"I would not recommend this to anyone, total waste of money.",0,Negative
It is amazing how something so small can be so powerful.,1,Positive
"Absolutely brilliant, exceeded all my expectations! Just my opinion.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"Small, powerful, but unfortunately it broke after one day. Honestly.",0,Negative
"Total waste of money, I would not recommend this to anyone.",0,Negative
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
Terribly slow service and the food was completely cold. Honestly.,0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
The customer service was surprisingly helpful and fast. Really.,1,Positive
"Exceeded my expectations, absolutely brilliant experience. Honestly.",1,Positive
"I hated every minute of it, the movie was not good. Really.",0,Negative
The food was cold and the service was terribly slow. Honestly.,0,Negative
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
It is amazing how something so small can be so powerful. Really.,1,Positive
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
The customer service was surprisingly helpful and fast. Really.,1,Positive
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"The movie was not good, I hated every minute of it.",0,Negative
"It is okay, nothing to write home about, but it works. Just my opinion.",0,Negative
The food was cold and the service was terribly slow. Honestly.,0,Negative
"I love it, not bad at all, the product is great. Honestly.",1,Positive
"I would not recommend this to anyone, total waste of money.",0,Negative
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
Terribly slow service and the food was completely cold. Just my opinion.,0,Negative
It is amazing how something so small can be so powerful. Really.,1,Positive
"It is okay, nothing to write home about, but it works. Just my opinion.",0,Negative
"Works perfectly, nothing more to say, very satisfied.",1,Positive
It is amazing how something so small can be so powerful.,1,Positive
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Just my opinion.",1,Positive
The customer service was surprisingly helpful and fast. Really.,1,Positive
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
"I love it, not bad at all, the product is great.",1,Positive
"Total waste of money, I would not recommend this to anyone. Really.",0,Negative
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
The food was cold and the service was terribly slow. Really.,0,Negative
The food was cold and the service was terribly slow. Just my opinion.,0,Negative
"Exceeded my expectations, absolutely brilliant experience. Honestly.",1,Positive
The food was cold and the service was terribly slow. Really.,0,Negative
"Exceeded my expectations, absolutely brilliant experience. Honestly.",1,Positive
"The product is not bad at all, I actually love it. Really.",1,Positive
"I love it, not bad at all, the product is great. Really.",1,Positive
"Exceeded my expectations, absolutely brilliant experience. Really.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
The customer service was surprisingly helpful and fast.,1,Positive
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
"I love it, not bad at all, the product is great. Really.",1,Positive
"I love it, not bad at all, the product is great. Honestly.",1,Positive
"Fast delivery, but the item was completely broken.",0,Negative
"I love it, not bad at all, the product is great. Really.",1,Positive
The customer service was surprisingly helpful and fast.,1,Positive
It is amazing how something so small can be so powerful. Really.,1,Positive
"It is okay, nothing to write home about, but it works. Honestly.",0,Negative
Terribly slow service and the food was completely cold.,0,Negative
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
The food was cold and the service was terribly slow.,0,Negative
"Total waste of money, I would not recommend this to anyone. Really.",0,Negative
"Works perfectly, nothing more to say, very satisfied.",1,Positive
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Just my opinion.",1,Positive
"I love it, not bad at all, the product is great.",1,Positive
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
It is amazing how something so small can be so powerful. Just my opinion.,1,Positive
Terribly slow service and the food was completely cold.,0,Negative
"It is okay, nothing to write home about, but it works.",0,Negative
"Fast delivery, but the item was completely broken. Really.",0,Negative
"I would not recommend this to anyone, total waste of money. Honestly.",0,Negative
"It is okay, nothing to write home about, but it works.",0,Negative
"The movie was not good, I hated every minute of it. Really.",0,Negative
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
The customer service was surprisingly helpful and fast.,1,Positive
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
It is amazing how something so small can be so powerful. Just my opinion.,1,Positive
"It is okay, nothing to write home about, but it works. Just my opinion.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
"Exceeded my expectations, absolutely brilliant experience. Honestly.",1,Positive
It is amazing how something so small can be so powerful.,1,Positive
"It is okay, nothing to write home about, but it works. Really.",0,Negative
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
Terribly slow service and the food was completely cold. Honestly.,0,Negative
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
"I hated every minute of it, the movie was not good. Really.",0,Negative
The food was cold and the service was terribly slow. Honestly.,0,Negative
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
Terribly slow service and the food was completely cold. Honestly.,0,Negative
"Absolutely brilliant, exceeded all my expectations! Really.",1,Positive
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
It is amazing how something so small can be so powerful. Just my opinion.,1,Positive
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
Terribly slow service and the food was completely cold.,0,Negative
Terribly slow service and the food was completely cold.,0,Negative
"Works perfectly, nothing more to say, very satisfied. Honestly.",1,Positive
"Total waste of money, I would not recommend this to anyone. Honestly.",0,Negative
"The product is not bad at all, I actually love it. Really.",1,Positive
"It is okay, nothing to write home about, but it works. Really.",0,Negative
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
"The product is not bad at all, I actually love it. Really.",1,Positive
"The movie was not good, I hated every minute of it.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Just my opinion.",1,Positive
The food was cold and the service was terribly slow.,0,Negative
It is amazing how something so small can be so powerful. Just my opinion.,1,Positive
"Fast delivery, but the item was completely broken.",0,Negative
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
Terribly slow service and the food was completely cold. Really.,0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
"I hated every minute of it, the movie was not good.",0,Negative
"Small, powerful, but unfortunately it broke after one day. Honestly.",0,Negative
"Exceeded my expectations, absolutely brilliant experience.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Just my opinion.",1,Positive
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
"Absolutely brilliant, exceeded all my expectations!",1,Positive
"I love it, not bad at all, the product is great.",1,Positive
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
The food was cold and the service was terribly slow. Just my opinion.,0,Negative
"Total waste of money, I would not recommend this to anyone.",0,Negative
"Total waste of money, I would not recommend this to anyone. Honestly.",0,Negative
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"I love it, not bad at all, the product is great. Really.",1,Positive
"Exceeded my expectations, absolutely brilliant experience.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
The customer service was surprisingly helpful and fast. Really.,1,Positive
"Works perfectly, nothing more to say, very satisfied.",1,Positive
"The movie was not good, I hated every minute of it. Honestly.",0,Negative
"Works perfectly, nothing more to say, very satisfied.",1,Positive
"Total waste of money, I would not recommend this to anyone.",0,Negative
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
The food was cold and the service was terribly slow. Just my opinion.,0,Negative
The customer service was surprisingly helpful and fast.,1,Positive
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
"Fast delivery, but the item was completely broken.",0,Negative
"The movie was not good, I hated every minute of it. Really.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"It is okay, nothing to write home about, but it works.",0,Negative
"Total waste of money, I would not recommend this to anyone. Honestly.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Really.",1,Positive
It is amazing how something so small can be so powerful. Really.,1,Positive
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"I hated every minute of it, the movie was not good.",0,Negative
"I hated every minute of it, the movie was not good. Really.",0,Negative
Terribly slow service and the food was completely cold.,0,Negative
"I would not recommend this to anyone, total waste of money. Really.",0,Negative
"The product is not bad at all, I actually love it. Really.",1,Positive
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
"Total waste of money, I would not recommend this to anyone. Honestly.",0,Negative
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
"The product is not bad at all, I actually love it.",1,Positive
The food was cold and the service was terribly slow. Honestly.,0,Negative
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
"It is okay, nothing to write home about, but it works.",0,Negative
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
Terribly slow service and the food was completely cold. Just my opinion.,0,Negative
The food was cold and the service was terribly slow.,0,Negative
"Absolutely brilliant, exceeded all my expectations! Really.",1,Positive
The customer service was surprisingly helpful and fast.,1,Positive
"I would not recommend this to anyone, total waste of money.",0,Negative
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"I would not recommend this to anyone, total waste of money.",0,Negative
The food was cold and the service was terribly slow.,0,Negative
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Honestly.",0,Negative
The food was cold and the service was terribly slow.,0,Negative
"The movie was not good, I hated every minute of it.",0,Negative
"Works perfectly, nothing more to say, very satisfied.",1,Positive
Terribly slow service and the food was completely cold. Really.,0,Negative
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
The customer service was surprisingly helpful and fast. Really.,1,Positive
"Exceeded my expectations, absolutely brilliant experience. Honestly.",1,Positive
It is amazing how something so small can be so powerful. Really.,1,Positive
"It is okay, nothing to write home about, but it works. Just my opinion.",0,Negative
The food was cold and the service was terribly slow. Really.,0,Negative
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
"I love it, not bad at all, the product is great. Honestly.",1,Positive
"It is okay, nothing to write home about, but it works. Just my opinion.",0,Negative
"The movie was not good, I hated every minute of it.",0,Negative
"Fast delivery, but the item was completely broken. Really.",0,Negative
Terribly slow service and the food was completely cold. Honestly.,0,Negative
"Total waste of money, I would not recommend this to anyone.",0,Negative
"The movie was not good, I hated every minute of it.",0,Negative
Terribly slow service and the food was completely cold. Honestly.,0,Negative
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
Terribly slow service and the food was completely cold. Honestly.,0,Negative
The food was cold and the service was terribly slow. Really.,0,Negative
"Absolutely brilliant, exceeded all my expectations! Just my opinion.",1,Positive
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
It is amazing how something so small can be so powerful. Honestly.,1,Positive
"Exceeded my expectations, absolutely brilliant experience.",1,Positive
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"Exceeded my expectations, absolutely brilliant experience.",1,Positive
"The movie was not good, I hated every minute of it. Really.",0,Negative
"I love it, not bad at all, the product is great.",1,Positive
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
Terribly slow service and the food was completely cold. Honestly.,0,Negative
"Exceeded my expectations, absolutely brilliant experience. Honestly.",1,Positive
"I would not recommend this to anyone, total waste of money.",0,Negative
"Works perfectly, nothing more to say, very satisfied.",1,Positive
"It is okay, nothing to write home about, but it works.",0,Negative
"The product is not bad at all, I actually love it.",1,Positive
"Works perfectly, nothing more to say, very satisfied.",1,Positive
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"The product is not bad at all, I actually love it. Really.",1,Positive
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
"Absolutely brilliant, exceeded all my expectations!",1,Positive
"It is okay, nothing to write home about, but it works. Honestly.",0,Negative
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"Works perfectly, nothing more to say, very satisfied.",1,Positive
"Exceeded my expectations, absolutely brilliant experience.",1,Positive
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
It is amazing how something so small can be so powerful.,1,Positive
"Exceeded my expectations, absolutely brilliant experience. Really.",1,Positive
"Total waste of money, I would not recommend this to anyone.",0,Negative
"The product is not bad at all, I actually love it. Honestly.",1,Positive
"Fast delivery, but the item was completely broken. Really.",0,Negative
The food was cold and the service was terribly slow. Just my opinion.,0,Negative
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
It is amazing how something so small can be so powerful.,1,Positive
"Small, powerful, but unfortunately it broke after one day.",0,Negative
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
Terribly slow service and the food was completely cold.,0,Negative
"I hated every minute of it, the movie was not good. Just my opinion.",0,Negative
"Exceeded my expectations, absolutely brilliant experience. Really.",1,Positive
"I love it, not bad at all, the product is great. Really.",1,Positive
"Exceeded my expectations, absolutely brilliant experience.",1,Positive
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
"The product is not bad at all, I actually love it. Really.",1,Positive
"It is okay, nothing to write home about, but it works. Really.",0,Negative
"The movie was not good, I hated every minute of it.",0,Negative
"I hated every minute of it, the movie was not good. Really.",0,Negative
"I love it, not bad at all, the product is great. Really.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"I love it, not bad at all, the product is great. Honestly.",1,Positive
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"It is okay, nothing to write home about, but it works. Really.",0,Negative
"The movie was not good, I hated every minute of it. Really.",0,Negative
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
"I hated every minute of it, the movie was not good.",0,Negative
"I love it, not bad at all, the product is great.",1,Positive
"Works perfectly, nothing more to say, very satisfied. Honestly.",1,Positive
Terribly slow service and the food was completely cold. Really.,0,Negative
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"It is okay, nothing to write home about, but it works.",0,Negative
"I love it, not bad at all, the product is great. Really.",1,Positive
The customer service was surprisingly helpful and fast. Really.,1,Positive
"Absolutely brilliant, exceeded all my expectations!",1,Positive
"I hated every minute of it, the movie was not good. Really.",0,Negative
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"I love it, not bad at all, the product is great.",1,Positive
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
"The product is not bad at all, I actually love it. Really.",1,Positive
"I hated every minute of it, the movie was not good.",0,Negative
The food was cold and the service was terribly slow.,0,Negative
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
"It is okay, nothing to write home about, but it works.",0,Negative
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"I would not recommend this to anyone, total waste of money.",0,Negative
The customer service was surprisingly helpful and fast.,1,Positive
"I would not recommend this to anyone, total waste of money.",0,Negative
The customer service was surprisingly helpful and fast. Just my opinion.,1,Positive
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
"I love it, not bad at all, the product is great. Really.",1,Positive
"Total waste of money, I would not recommend this to anyone.",0,Negative
Terribly slow service and the food was completely cold.,0,Negative
"Absolutely brilliant, exceeded all my expectations!",1,Positive
"I would not recommend this to anyone, total waste of money. Honestly.",0,Negative
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Honestly.",1,Positive
"The product is not bad at all, I actually love it. Really.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
It is amazing how something so small can be so powerful.,1,Positive
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
"The product is not bad at all, I actually love it.",1,Positive
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
"Small, powerful, but unfortunately it broke after one day.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Honestly.",1,Positive
"I love it, not bad at all, the product is great. Really.",1,Positive
"Works perfectly, nothing more to say, very satisfied. Really.",1,Positive
"The product is not bad at all, I actually love it.",1,Positive
The food was cold and the service was terribly slow. Just my opinion.,0,Negative
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
It is amazing how something so small can be so powerful. Honestly.,1,Positive
"I would not recommend this to anyone, total waste of money. Just my opinion.",0,Negative
"Absolutely brilliant, exceeded all my expectations!",1,Positive
"The product is not bad at all, I actually love it. Just my opinion.",1,Positive
"Absolutely brilliant, exceeded all my expectations! Really.",1,Positive
"Exceeded my expectations, absolutely brilliant experience. Really.",1,Positive
"Fast delivery, but the item was completely broken. Honestly.",0,Negative
"Fast delivery, but the item was completely broken.",0,Negative
It is amazing how something so small can be so powerful. Really.,1,Positive
The customer service was surprisingly helpful and fast. Just my opinion.,1,Positive
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
"I hated every minute of it, the movie was not good. Really.",0,Negative
"Fast delivery, but the item was completely broken. Really.",0,Negative
It is amazing how something so small can be so powerful. Honestly.,1,Positive
The food was cold and the service was terribly slow.,0,Negative
"I would not recommend this to anyone, total waste of money.",0,Negative
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
"I hated every minute of it, the movie was not good.",0,Negative
The customer service was surprisingly helpful and fast. Honestly.,1,Positive
"I hated every minute of it, the movie was not good. Honestly.",0,Negative
The food was cold and the service was terribly slow. Honestly.,0,Negative
"Works perfectly, nothing more to say, very satisfied. Just my opinion.",1,Positive
It is amazing how something so small can be so powerful.,1,Positive
"Exceeded my expectations, absolutely brilliant experience. Just my opinion.",1,Positive
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"Small, powerful, but unfortunately it broke after one day. Honestly.",0,Negative
The customer service was surprisingly helpful and fast. Really.,1,Positive
"It is okay, nothing to write home about, but it works.",0,Negative
"The movie was not good, I hated every minute of it. Just my opinion.",0,Negative
"Fast delivery, but the item was completely broken. Really.",0,Negative
"Total waste of money, I would not recommend this to anyone. Just my opinion.",0,Negative
It is amazing how something so small can be so powerful. Honestly.,1,Positive
"Fast delivery, but the item was completely broken. Just my opinion.",0,Negative
"I would not recommend this to anyone, total waste of money. Honestly.",0,Negative
"Works perfectly, nothing more to say, very satisfied. Honestly.",1,Positive
"It is okay, nothing to write home about, but it works. Just my opinion.",0,Negative
"Absolutely brilliant, exceeded all my expectations! Just my opinion.",1,Positive
"Small, powerful, but unfortunately it broke after one day. Just my opinion.",0,Negative
"Small, powerful, but unfortunately it broke after one day. Really.",0,Negative
"I love it, not bad at all, the product is great. Just my opinion.",1,Positive
